"Constituency","Party","Sex","Average age"
"Helsinki constituency","KOK","Men",47.6
"Helsinki constituency","KOK","Women",49.4
"Helsinki constituency","SDP","Men",48.0
"Helsinki constituency","SDP","Women",46.1
"Helsinki constituency","PS","Men",46.9
"Helsinki constituency","PS","Women",43.1
"Helsinki constituency","KESK","Men",44.0
"Helsinki constituency","KESK","Women",46.8
"Helsinki constituency","VAS","Men",40.3
"Helsinki constituency","VAS","Women",37.0
"Helsinki constituency","VIHR","Men",41.8
"Helsinki constituency","VIHR","Women",40.5
"Helsinki constituency","RKP","Men",39.7
"Helsinki constituency","RKP","Women",42.3
"Helsinki constituency","KD","Men",42.8
"Helsinki constituency","KD","Women",47.1
"Helsinki constituency","STP","Men",57.4
"Helsinki constituency","STP","Women",59.7
"Helsinki constituency","IP","Men",44.5
"Helsinki constituency","IP","Women",48.1
"Helsinki constituency","Change2011","Men",62.0
"Helsinki constituency","Change2011","Women",51.0
"Helsinki constituency","KA","Men",-
"Helsinki constituency","KA","Women",73.0
"Helsinki constituency","Pirate Pty","Men",33.0
"Helsinki constituency","Pirate Pty","Women",35.7
"Helsinki constituency","SKP","Men",48.3
"Helsinki constituency","SKP","Women",51.0
"Helsinki constituency","KTP","Men",67.5
"Helsinki constituency","KTP","Women",61.0
"Helsinki constituency","Others","Men",49.7
"Helsinki constituency","Others","Women",51.0
"Uusimaa constituency","KOK","Men",47.0
"Uusimaa constituency","KOK","Women",43.6
"Uusimaa constituency","SDP","Men",45.3
"Uusimaa constituency","SDP","Women",44.9
"Uusimaa constituency","PS","Men",49.3
"Uusimaa constituency","PS","Women",45.2
"Uusimaa constituency","KESK","Men",48.8
"Uusimaa constituency","KESK","Women",46.7
"Uusimaa constituency","VAS","Men",41.9
"Uusimaa constituency","VAS","Women",41.8
"Uusimaa constituency","VIHR","Men",39.9
"Uusimaa constituency","VIHR","Women",38.9
"Uusimaa constituency","RKP","Men",44.0
"Uusimaa constituency","RKP","Women",42.1
"Uusimaa constituency","KD","Men",53.1
"Uusimaa constituency","KD","Women",52.1
"Uusimaa constituency","STP","Men",56.7
"Uusimaa constituency","STP","Women",-
"Uusimaa constituency","IP","Men",48.9
"Uusimaa constituency","IP","Women",47.5
"Uusimaa constituency","Change2011","Men",47.2
"Uusimaa constituency","Change2011","Women",56.7
"Uusimaa constituency","KA","Men",-
"Uusimaa constituency","KA","Women",59.3
"Uusimaa constituency","Pirate Pty","Men",33.8
"Uusimaa constituency","Pirate Pty","Women",27.3
"Uusimaa constituency","SKP","Men",60.3
"Uusimaa constituency","SKP","Women",56.0
"Uusimaa constituency","KTP","Men",68.3
"Uusimaa constituency","KTP","Women",66.0
"Uusimaa constituency","Others","Men",32.0
"Uusimaa constituency","Others","Women",-
"Varsinais-Suomi constituency","KOK","Men",46.1
"Varsinais-Suomi constituency","KOK","Women",37.4
"Varsinais-Suomi constituency","SDP","Men",46.1
"Varsinais-Suomi constituency","SDP","Women",42.8
"Varsinais-Suomi constituency","PS","Men",43.9
"Varsinais-Suomi constituency","PS","Women",40.7
"Varsinais-Suomi constituency","KESK","Men",51.6
"Varsinais-Suomi constituency","KESK","Women",44.1
"Varsinais-Suomi constituency","VAS","Men",40.9
"Varsinais-Suomi constituency","VAS","Women",42.0
"Varsinais-Suomi constituency","VIHR","Men",35.9
"Varsinais-Suomi constituency","VIHR","Women",37.1
"Varsinais-Suomi constituency","RKP","Men",47.0
"Varsinais-Suomi constituency","RKP","Women",26.0
"Varsinais-Suomi constituency","KD","Men",54.6
"Varsinais-Suomi constituency","KD","Women",42.7
"Varsinais-Suomi constituency","STP","Men",56.3
"Varsinais-Suomi constituency","STP","Women",62.0
"Varsinais-Suomi constituency","IP","Men",46.4
"Varsinais-Suomi constituency","IP","Women",63.5
"Varsinais-Suomi constituency","Change2011","Men",25.0
"Varsinais-Suomi constituency","Change2011","Women",34.0
"Varsinais-Suomi constituency","KA","Men",-
"Varsinais-Suomi constituency","KA","Women",-
"Varsinais-Suomi constituency","Pirate Pty","Men",30.1
"Varsinais-Suomi constituency","Pirate Pty","Women",20.0
"Varsinais-Suomi constituency","SKP","Men",49.1
"Varsinais-Suomi constituency","SKP","Women",60.7
"Varsinais-Suomi constituency","KTP","Men",55.5
"Varsinais-Suomi constituency","KTP","Women",-
"Varsinais-Suomi constituency","Others","Men",49.0
"Varsinais-Suomi constituency","Others","Women",-
"Satakunta constituency","KOK","Men",45.5
"Satakunta constituency","KOK","Women",44.8
"Satakunta constituency","SDP","Men",40.0
"Satakunta constituency","SDP","Women",45.2
"Satakunta constituency","PS","Men",49.1
"Satakunta constituency","PS","Women",41.0
"Satakunta constituency","KESK","Men",54.4
"Satakunta constituency","KESK","Women",44.8
"Satakunta constituency","VAS","Men",45.9
"Satakunta constituency","VAS","Women",57.8
"Satakunta constituency","VIHR","Men",47.5
"Satakunta constituency","VIHR","Women",43.5
"Satakunta constituency","RKP","Men",64.0
"Satakunta constituency","RKP","Women",65.0
"Satakunta constituency","KD","Men",48.1
"Satakunta constituency","KD","Women",46.4
"Satakunta constituency","STP","Men",65.0
"Satakunta constituency","STP","Women",-
"Satakunta constituency","IP","Men",41.6
"Satakunta constituency","IP","Women",66.3
"Satakunta constituency","Change2011","Men",48.1
"Satakunta constituency","Change2011","Women",39.0
"Satakunta constituency","KA","Men",-
"Satakunta constituency","KA","Women",-
"Satakunta constituency","Pirate Pty","Men",29.5
"Satakunta constituency","Pirate Pty","Women",-
"Satakunta constituency","SKP","Men",59.0
"Satakunta constituency","SKP","Women",65.0
"Satakunta constituency","KTP","Men",61.5
"Satakunta constituency","KTP","Women",-
"Satakunta constituency","Others","Men",-
"Satakunta constituency","Others","Women",-
"Häme constituency","KOK","Men",46.3
"Häme constituency","KOK","Women",41.5
"Häme constituency","SDP","Men",41.4
"Häme constituency","SDP","Women",42.6
"Häme constituency","PS","Men",50.9
"Häme constituency","PS","Women",45.7
"Häme constituency","KESK","Men",49.8
"Häme constituency","KESK","Women",47.3
